"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
91091 3444 491 625.161250580501 521102 22256094 "1" 0.0439463261484613 0.00327181821445978
91100 2130 489 442.609242112834 342043 13348212 "1" 0.0754267581376784 0.00829941454367599
91324 1454 487 740.449793935424 109917 1959133 "1" 0.0520277261578047 0.00383193852546735
91333 12934 481 321.536341686162 399665 6067040 "1" 0.002389263139925 1.68279137927998e-05
91428 2153 490 369.057313497081 185855 3753956 "1" 0.0401132594443303 0.00226002748683185
91514 458 283 429.286854808763 43088 836057 "1" 0.205861274879841 0.0525582162002045
91558 1342 459 589.727425976468 87202 2165707 "1" 0.04845573125912 0.00538846242287995
91710 1966 483 391.895573101274 163636 3218575 "1" 0.0423577406236815 0.00254523175129548
91729 18 18 71.1428571428571 140 177 "1" 0.457516339869281 0.216911764705882
91889 1728 489 791.600234500953 272920 10556392 "1" 0.0914532801475477 0.0122967372166581
91911 706 484 806.731740572411 81410 2532239 "1" 0.163562574086352 0.0433600192601684
91968 915 484 1051.27802517648 246341 12909018 "1" 0.2945570422451 0.101439334054726
92503 491 432 1080.81736994865 44790 828729 "1" 0.186167338625878 0.0422646576654477
92776 23 21 482.126315789474 95 41 "1" 0.187747035573123 0.0231507622811971
93217 2291 489 632.254500110813 410601 21483290 "1" 0.0782635297795246 0.0107336066824576
93588 280 239 1429.18541153277 10145 92383 "1" 0.129864311315924 0.0255232680215275
93734 1898 491 572.627928677636 326854 15553837 "1" 0.0907800181418945 0.0136705794031608
93949 880 486 292.635060341632 159177 5802701 "1" 0.205782655910642 0.0512643411499212
94446 489 473 181.491412929096 145393 7919929 "1" 0.609277045827886 0.408897915242137
94554 494 455 242.59107983453 42062 813895 "1" 0.172709429995648 0.040754977706054
94838 1304 487 400.778829488588 163860 5482978 "1" 0.0964386102858434 0.0148708147099793
94913 1904 491 402.555127703085 367728 17411857 "1" 0.101489465991336 0.0151593331435029
94949 3 3 465.333333333333 6 1 "1" 1 1
95143 3 3 737.666666666667 6 1 "1" 1 1
95252 2029 488 575.777166836479 289535 11419061 "1" 0.070364089537991 0.00821443877345628
95546 520 471 933.595399090232 138277 8042937 "1" 0.512364754705795 0.345195762681312
95701 1144 489 780.055861436109 183078 9182688 "1" 0.14001156323991 0.0368962917882482
95798 4 2 1194.91666666667 12 4 "1" 1 1
96028 654 489 843.824254282294 164573 10343050 "1" 0.385360907783881 0.22287499641221
96037 1814 491 490.986601151242 268232 12919461 "1" 0.0815596777165528 0.0130077555111377
96155 632 305 484.152725310308 87091 2427976 "1" 0.218387028827058 0.0579840642550025
96277 655 290 369.334733477591 70707 1613655 "1" 0.165060578471882 0.034612240187804
96711 2610 491 345.761065247428 635458 41082787 "1" 0.0933194703274401 0.0138799842960051
96742 3 3 243.333333333333 6 1 "1" 1 1
96979 1469 489 631.399969705002 158442 3903154 "1" 0.0734721019136635 0.00740267992689043
97016 2390 490 790.147068249589 430596 20679756 "1" 0.0754146883116656 0.00910014447837951
97074 3 3 771.833333333333 6 1 "1" 1 1
97131 1943 491 638.602106728708 272935 12442873 "1" 0.0723331211409835 0.0101935241761694
97217 970 484 1111.19542921947 81124 1770323 "1" 0.0863085548923856 0.0116743549480078
97240 1820 487 587.174164571579 258939 10266791 "1" 0.0782155996834391 0.0102350037394861
97283 1210 486 1037.84773684726 204140 11212092 "1" 0.139545693797893 0.0380679331156114
97600 3 2 128.75 4 0 "1" 0.666666666666667 0
97905 1317 200 463.873530852106 89848 1478756 "1" 0.0518402097425991 0.0038929636905046
98472 517 483 830.664386552176 61839 1765140 "1" 0.231804687148576 0.0770873174998788
98704 642 479 378.600863860033 91450 2659652 "1" 0.222223842224717 0.0605902904340473
99011 4757 491 430.815556878377 265426 4712291 "1" 0.0117319030359049 0.00026281965054863
99222 725 476 395.437652916685 69891 1275004 "1" 0.133151076395504 0.0201580225911436
